link,name,hall_of_fame,active_player,years_played,career_batting_average,career_hits,career_HRs,career_WAR,career_RBIs,career_runs,career_OBP,career_SLG,career_OPS,world_series_wins,golden_glove_awards,mvps,career_hitting_titles,silver_slugger_awards,all_star_apps
http://www.baseball-reference.com/players/a/adamsgl01.shtml,Glenn Adams,False,False,8,.280,452,34,-1.3,225,152,.324,.398,.721,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamshe01.shtml,Herb Adams,False,False,3,.261,88,0,-0.2,18,39,.310,.320,.631,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsji01.shtml,Jim Adams,False,False,1,.250,1,0,0.0,0,0,.250,.250,.500,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsla01.shtml,Lane Adams,False,False,3,.263,36,7,0.6,26,30,.333,.467,.800,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsma01.shtml,Matt Adams,False,True,10,.258,624,118,4.9,399,297,.306,.463,.769,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsmi02.shtml,Mike Adams,False,False,5,.195,23,3,0.2,9,27,.375,.314,.689,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsri02.shtml,Ricky Adams,False,False,3,.215,53,4,0.8,16,35,.260,.291,.551,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsri03.shtml,Riley Adams,False,True,1,.222,22,2,0.5,10,13,.358,.384,.742,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsru01.shtml,Russ Adams,False,False,5,.247,218,17,0.0,113,125,.313,.372,.685,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsry01.shtml,Ryan Adams,False,False,1,.281,25,0,-0.4,7,9,.333,.326,.659,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamssp01.shtml,Sparky Adams,False,False,13,.286,1588,9,17.5,394,844,.343,.353,.695,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamssp02.shtml,Spencer Adams,False,False,4,.256,101,0,-0.9,38,61,.324,.322,.646,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adcocjo01.shtml,Joe Adcock,False,False,17,.277,1832,336,33.5,1122,823,.337,.485,.822,1,0,0,0,0,2
http://www.baseball-reference.com/players/a/addisbo01.shtml,Bob Addis,False,False,4,.281,150,2,0.8,47,70,.327,.341,.668,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adducji01.shtml,Jim Adduci,False,False,4,.236,34,1,-0.6,15,11,.242,.326,.568,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adducji02.shtml,Jim Adduci,False,False,5,.232,92,5,-0.1,39,48,.283,.336,.619,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/addybo01.shtml,Bob Addy,False,False,6,.277,341,1,2.9,167,227,.289,.330,.618,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adelljo01.shtml,Jo Adell,False,True,2,.205,52,7,-1.2,33,26,.255,.339,.593,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aderhmo01.shtml,Morrie Aderholt,False,False,5,.267,70,3,0.0,32,36,.317,.351,.668,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkindi01.shtml,Dick Adkins,False,False,1,.143,1,0,0.0,0,2,.333,.143,.476,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adlesda01.shtml,Dave Adlesh,False,False,6,.168,43,1,-1.9,11,9,.227,.199,.427,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adriaeh01.shtml,Ehire Adrianza,False,True,9,.244,308,21,1.4,142,175,.313,.366,.678,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/afenitr01.shtml,Troy Afenir,False,False,4,.190,15,0,-0.3,7,4,.235,.266,.501,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/agbaybe01.shtml,Benny Agbayani,False,False,5,.274,299,39,1.3,156,145,.362,.445,.806,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/ageeto01.shtml,Tommie Agee,False,False,12,.255,999,130,25.3,433,558,.320,.412,.732,1,2,0,0,0,2
http://www.baseball-reference.com/players/a/agganha01.shtml,Harry Agganis,False,False,2,.261,135,11,0.4,67,65,.331,.404,.735,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aglerjo01.shtml,Joe Agler,False,False,3,.246,185,0,-0.3,36,121,.359,.302,.661,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/agnewsa01.shtml,Sam Agnew,False,False,7,.204,314,2,5.4,98,105,.265,.253,.518,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/aguaylu01.shtml,Luis Aguayo,False,False,10,.236,260,37,2.7,109,142,.304,.393,.697,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aguilch01.shtml,Chris Aguila,False,False,4,.230,53,3,-0.9,16,26,.280,.343,.624,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aguilje01.shtml,Jesús Aguilar,False,True,8,.260,462,93,5.1,342,241,.334,.467,.801,0,0,0,0,0,1
http://www.baseball-reference.com/players/a/ahearch01.shtml,Bill Ahearn,False,False,1,.250,1,0,-0.2,0,1,.250,.250,.500,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/ahmedni01.shtml,Nick Ahmed,False,True,8,.236,624,65,12.4,298,323,.291,.380,.671,0,2,0,0,0,0
http://www.baseball-reference.com/players/a/aikenwi01.shtml,Willie Aikens,False,False,8,.271,675,110,7.9,415,301,.354,.455,.809,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aingeda01.shtml,Danny Ainge,False,False,3,.220,146,2,-2.0,37,57,.264,.269,.533,0,0,0,0,0,0
