link,hall_of_fame,active_player,years_played,career_era,career_whip,career_ip,career_wl,career_wins,career_ko9,career_war,career_saves,world_series_wins,cy_young_awards,mvps,era_titles,all_star_apps
http://www.baseball-reference.com/players/a/adamsjo01.shtml,False,False,1,9.00,2.750,4.0,,0,0.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamska01.shtml,False,False,2,5.01,1.452,115.0,.100,1,4.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsmi03.shtml,False,False,10,2.41,1.085,407.1,.512,21,9.0,,4,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsre01.shtml,False,False,1,8.25,2.083,12.0,.000,0,6.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsri01.shtml,False,False,1,3.59,1.388,62.2,.286,2,3.6,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamste01.shtml,False,False,11,4.17,1.461,869.1,.451,51,7.2,,42,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamswi01.shtml,False,False,5,4.37,1.572,284.1,.333,8,2.3,,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamswi02.shtml,False,False,2,5.81,1.515,134.2,.400,6,7.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsjo02.shtml,False,False,3,4.89,1.432,110.1,.455,5,6.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsmi01.shtml,False,False,3,7.46,1.974,25.1,.000,0,5.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adcocna01.shtml,False,False,4,4.17,1.480,123.0,.250,2,5.9,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adenhni01.shtml,False,False,2,6.00,2.278,18.0,1.000,1,4.5,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkinde01.shtml,False,False,3,5.64,1.657,99.0,.333,2,4.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkindo01.shtml,False,False,2,5.00,1.926,27.0,.500,1,1.0,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkingr01.shtml,False,False,2,4.34,1.540,363.0,.308,12,1.9,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkinjo01.shtml,False,False,6,4.54,1.507,138.2,.500,5,5.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkinst01.shtml,False,False,1,6.38,2.000,24.0,.333,1,5.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adlemti01.shtml,False,False,2,4.97,1.349,192.0,.375,9,7.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adonjo01.shtml,False,True,1,3.38,1.688,5.1,,0,15.2,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/affelje01.shtml,False,False,14,3.97,1.404,926.0,.483,43,7.0,,28,3,0,0,0,0
http://www.baseball-reference.com/players/a/agostju01.shtml,False,False,13,4.01,1.416,626.1,.548,40,4.4,,29,0,0,0,0,0
http://www.baseball-reference.com/players/a/agrazda01.shtml,False,False,1,4.91,1.364,73.1,.444,4,5.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aguilmi01.shtml,False,True,1,6.43,1.429,7.0,.500,1,3.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aguilri01.shtml,False,False,16,3.57,1.227,1291.1,.515,86,7.2,,318,2,0,0,0,3
http://www.baseball-reference.com/players/a/aguirha01.shtml,False,False,16,3.25,1.232,1375.1,.510,75,5.6,,33,0,0,0,1,2
http://www.baseball-reference.com/players/a/ahearpa01.shtml,False,False,1,11.70,2.500,10.0,.000,0,3.6,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/ainswku01.shtml,False,False,4,5.19,1.555,126.2,.429,6,6.4,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aitchra01.shtml,False,False,3,3.01,1.260,206.1,.500,12,4.4,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/akerja01.shtml,False,False,11,3.28,1.277,746.0,.511,47,4.9,,124,0,0,0,0,0
http://www.baseball-reference.com/players/a/akerfda01.shtml,False,False,5,5.08,1.468,233.2,.474,9,5.0,,3,0,0,0,0,0
http://www.baseball-reference.com/players/a/akersje01.shtml,False,False,1,4.87,1.918,20.1,.500,1,4.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/akinke01.shtml,False,True,2,6.19,1.550,120.2,.200,3,8.7,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alanirj01.shtml,False,True,2,8.35,1.636,18.1,1.000,1,7.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albagi01.shtml,False,False,1,2.70,0.900,3.1,,0,8.1,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albaljo01.shtml,False,False,5,4.34,1.422,76.2,.667,6,6.6,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albanjo01.shtml,False,False,1,4.50,1.667,6.0,,0,4.5,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alberjo01.shtml,False,False,3,7.41,1.937,58.1,.000,0,3.5,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alberan01.shtml,False,True,5,4.58,1.382,139.2,.500,8,5.9,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/alberma01.shtml,False,False,14,4.35,1.403,759.0,.495,47,6.8,,7,0,0,0,0,0
http://www.baseball-reference.com/players/a/albercy01.shtml,False,False,1,6.18,1.988,27.2,.333,1,3.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albosed01.shtml,False,False,2,6.15,1.804,52.2,.000,0,4.1,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albreed01.shtml,False,False,2,5.40,1.543,11.2,.500,1,1.5,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albrith01.shtml,False,False,2,7.74,1.866,54.2,.000,0,2.3,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/albrial01.shtml,False,False,3,4.33,1.585,35.1,.500,2,1.8,,1,0,0,0,0,0
